LSOA Code,Total
E01001582,6
E01001583,1
E01001584,6
E01001585,2
E01001586,2
E01001587,6
E01001588,7
E01001589,10
E01001590,4
E01001591,7
E01001592,2
E01001593,1
E01001594,2
E01001595,10
E01001597,4
E01001598,2
E01001599,1
E01001600,3
E01001601,1
E01001602,3
E01001603,2
E01001604,5
E01001606,1
E01001607,2
E01001608,3
E01001609,51
E01001610,2
E01001611,2
E01001613,2
E01001615,41
E01001617,6
E01001618,3
E01001619,2
E01001620,4
E01001621,4
E01001623,4
E01001624,1
E01001625,6
E01001629,5
E01001631,14
E01001632,3
E01001633,3
E01001634,4
E01001635,3
E01001636,5
E01001637,3
E01001638,10
E01001641,169
E01001642,64
E01001644,53
E01001645,3
E01001646,7
E01001647,5
E01001648,2
E01001649,5
E01001650,1
E01001651,5
E01001652,6
E01001653,2
E01001654,1
E01001655,2
E01001656,4
E01001657,5
E01001658,8
E01001659,8
E01001660,4
E01001661,6
E01001664,23
E01001665,11
E01001666,49
E01001669,4
E01001671,7
E01001672,4
E01001673,12
E01001674,5
E01001675,13
E01001676,7
E01001677,8
E01001678,3
E01001679,4
E01001680,1
E01001681,1
E01001682,3
E01001683,1
E01001684,5
E01001686,5
E01001687,2
E01001688,4
E01001690,3
E01001692,2
E01001693,6
E01001694,3
E01001695,7
E01001696,38
E01001697,2
E01001698,6
E01001699,3
E01001700,7
E01001701,21
E01001702,1
E01001703,7
E01001704,3
E01001705,12
E01001708,1
E01001710,1
E01001712,9
E01001714,108
E01001715,20
E01001716,43
E01001717,10
E01001718,287
E01001719,23
E01001720,44
E01001722,40
E01001723,11
E01001724,49
E01001725,7
E01001726,9
E01001727,14
E01001728,10
E01001729,74
E01001730,36
E01001731,141
E01001732,8
E01001733,70
E01001734,53
E01001735,40
E01001736,9
E01001737,31
E01001738,27
E01001739,30
E01001740,35
E01001741,12
E01001742,20
E01001744,26
E01001745,39
E01001746,11
E01001747,93
E01001749,23
E01001750,52
E01001751,50
E01001753,18
E01001755,31
E01001756,70
E01001757,1
E01001758,35
E01001759,12
E01001760,285
E01001761,35
E01001762,66
E01001763,28
E01001764,22
E01001765,23
E01001767,24
E01001768,16
E01001769,25
E01001770,62
E01001772,20
E01001773,83
E01001774,63
E01001775,24
E01001776,26
E01001777,184
E01001780,213
E01001781,26
E01001783,6
E01001784,38
E01001785,11
E01001786,46
E01001787,24
E01001788,12
E01001789,6
E01001790,4
E01001791,11
E01001792,44
E01001793,19
E01001794,41
E01001795,45
E01001796,25
E01001798,54
E01001799,6
E01001800,26
E01001801,4
E01001802,10
E01001803,17
E01001804,5
E01001805,15
E01001806,50
E01001807,14
E01001808,80
E01001809,36
E01001811,49
E01001812,18
E01001813,95
E01001814,52
E01001815,10
E01001816,17
E01001819,19
E01001820,10
E01001821,10
E01001822,16
E01001823,5
E01001824,33
E01001825,5
E01001826,12
E01001827,27
E01001828,13
E01001829,29
E01001830,34
E01001831,48
E01001832,20
E01001833,17
E01001834,9
E01001835,12
E01001836,22
E01001837,35
E01001838,14
E01001839,78
E01001840,20
E01001841,12
E01001842,13
E01001843,6
E01001844,31
E01001845,24
E01001846,59
E01001847,9
E01001848,17
E01001849,163
E01001850,10
E01001851,3
E01001852,2
E01001853,3
E01001854,10
E01001855,9
E01001856,10
E01001857,66
E01001858,5
E01001859,2
E01001860,19
E01001861,8
E01001862,8
E01001863,2
E01001864,5
E01001865,4
E01001866,13
E01001867,7
E01001868,1
E01001869,14
E01001870,5
E01001871,4
E01001872,6
E01001873,1
E01001875,11
E01001876,27
E01001877,19
E01001879,2
E01001880,9
E01001881,29
E01001882,6
E01001883,6
E01001884,16
E01001885,2
E01001886,5
E01001887,4
E01001888,4
E01001889,4
E01001890,23
E01001891,22
E01001892,2
E01001893,13
E01001894,48
E01001895,2
E01001896,4
E01001897,1
E01001898,246
E01001899,181
E01001900,79
E01001901,2
E01001902,4
E01001903,3
E01001904,2
E01001908,6
E01001909,6
E01001910,4
E01001911,5
E01001912,18
E01001913,5
E01001914,12
E01001915,29
E01001916,6
E01001917,3
E01001918,3
E01001919,3
E01001920,37
E01001921,3
E01001922,14
E01001923,7
E01001924,3
E01001925,9
E01001926,2
E01001927,1
E01001928,9
E01001929,5
E01001930,8
E01001931,3
E01001932,18
E01001933,10
E01001934,3
E01001937,5
E01001938,5
E01001940,15
E01001941,86
E01001942,15
E01001943,706
E01001944,10
E01001945,15
E01001946,13
E01001947,2
E01001948,9
E01001949,3
E01001950,8
E01001951,7
E01001952,3
E01001953,17
E01001954,8
E01001955,7
E01001956,2
E01001957,5
E01001958,4
E01001959,3
E01001960,5
E01001961,3
E01001962,7
E01001963,5
E01001964,11
E01001965,4
E01001966,44
E01001968,3
E01001969,6
E01001970,13
E01001971,17
E01001972,9
E01001973,5
E01001974,12
E01001975,9
E01001976,11
E01001977,8
E01001978,19
E01001979,102
E01001980,6
E01001981,21
E01001982,18
E01001983,10
E01001984,4
E01001985,2
E01001986,3
E01001987,6
E01001988,5
E01001989,14
E01001990,38
E01001991,6
E01001992,11
E01001993,4
E01001994,7
E01001995,2
E01001996,5
E01001997,44
E01001998,3
E01001999,47
E01002000,8
E01002001,9
E01002002,479
E01002003,73
E01002004,5
E01002005,8
E01002006,5
E01002007,12
E01002008,4
E01002009,8
E01002010,8
E01002011,10
E01002013,4
E01002014,8
E01002015,6
E01002016,8
E01002017,4
E01002018,1
E01002019,4
E01002020,17
E01002021,4
E01002022,73
E01002023,3
E01002024,6
E01002025,2
E01002026,471
E01002027,5
E01002028,13
E01002029,141
E01002030,9
E01002031,125
E01002032,15
E01002033,18
E01002034,165
E01002036,12
E01002037,17
E01002038,43
E01002039,10
E01002040,11
E01002041,17
E01002042,18
E01002043,32
E01002044,27
E01002045,12
E01002046,30
E01002047,33
E01002048,12
E01002049,11
E01002050,4
E01002051,79
E01002052,10
E01002053,12
E01002054,35
E01002055,25
E01002056,40
E01002057,21
E01002058,69
E01002059,5
E01002060,8
E01002061,4
E01002062,7
E01002063,10
E01002064,12
E01002065,54
E01002066,131
E01002067,22
E01002068,100
E01002069,253
E01002070,12
E01002071,40
E01002072,101
E01002073,105
E01002074,24
E01002075,14
E01002076,5
E01002077,99
E01002078,26
E01002079,6
E01002081,62
E01002082,10
E01002083,10
E01002084,22
E01002085,112
E01002086,7
E01002087,11
E01002088,25
E01002089,4
E01002090,11
E01002091,7
E01002092,9
E01002093,24
